A,B,C,D
32,12,97,y
44,21,4,z
40,69,47,z
66,99,76,z
34,63,33,y
29,16,47,x
2,98,76,z
55,81,64,y
69,61,80,y
81,68,66,x
40,34,57,x
18,41,37,z
13,47,31,y
89,1,57,z
25,37,43,y
62,10,21,y
86,51,44,y
46,91,9,y
34,93,13,z
81,44,28,x
93,15,20,y
33,92,25,x
11,29,59,x
66,43,1,x
81,66,6,y
75,78,66,y
95,44,70,x
52,32,80,z
15,19,42,z
17,89,38,y
67,1,61,z
39,47,9,x
81,87,73,y
86,36,29,x
86,80,91,x
34,85,50,y
61,72,45,x
60,91,51,y
86,49,83,z
5,89,5,y
57,88,76,z
44,19,54,y
80,86,20,y
42,35,45,x
23,89,70,z
64,66,24,y
39,20,19,y
51,48,30,z
72,84,61,y
46,97,62,x
27,37,39,x
22,39,95,x
39,22,84,x
65,18,41,y
37,20,51,x
11,5,10,x
92,31,62,y
48,53,89,x
23,65,93,x
89,94,93,y
59,10,30,z
6,24,49,x
34,89,90,z
39,56,90,y
22,28,4,y
81,31,49,z
36,39,43,y
79,74,13,y
41,84,64,z
93,10,74,y
77,53,3,y
22,37,45,y
43,3,14,z
9,73,19,y
5,82,66,y
89,12,11,z
8,31,13,z
94,39,37,x
24,74,96,x
18,95,30,y
39,57,69,y
53,45,56,y
2,93,35,z
45,86,33,y
83,13,66,z
56,43,23,x
77,50,69,y
47,28,94,y
42,44,26,y
63,21,79,z
73,12,83,y
12,59,96,y
2,28,53,y
40,82,4,x
28,56,17,z
27,66,25,y
58,1,71,z
32,17,10,z
53,46,15,z
67,84,87,y
77,16,47,z
97,27,77,x
20,83,82,z
78,61,88,y
33,53,1,z
29,32,92,x
78,52,77,x
2,3,98,z
71,24,58,x
31,88,21,z
62,99,88,z
91,87,44,x
8,93,56,y
64,88,90,x
31,89,50,x
75,50,85,y
94,65,71,z
64,18,15,x
64,58,45,x
4,23,54,x
93,1,48,z
91,94,8,z
51,34,37,y
3,56,16,x
64,94,60,x
54,46,52,z
2,77,81,x
66,32,47,z
13,40,89,x
68,36,61,y
49,95,16,x
30,98,40,x
83,43,80,x
67,34,17,z
32,92,86,x
25,41,17,y
95,62,62,z
84,99,86,z
93,37,5,x
57,2,3,x
2,40,71,z
32,90,61,x
13,21,77,x
15,82,62,z
93,35,81,z
20,6,65,z
27,42,68,z
68,66,68,x
77,40,87,y
42,85,85,x
65,72,25,y
68,5,86,x
93,37,46,y
20,3,45,z
87,13,17,x
12,2,25,y
78,51,42,z
20,50,17,x
13,24,27,y
27,7,82,y
51,10,12,y
14,25,12,x
91,17,76,y
55,4,94,y
74,44,81,y
95,4,79,y
64,6,28,z
33,57,54,y
22,52,9,z
7,3,15,x
8,37,11,x
7,27,86,x
67,26,69,z
8,53,86,y
25,60,16,x
16,77,65,x
96,42,61,x
40,80,3,x
63,54,63,y
41,35,17,y
7,9,45,y
66,36,23,z
70,68,51,x
3,3,83,x
25,24,31,z
84,14,78,x
74,29,4,x
62,99,76,x
99,76,27,y
43,34,52,x
10,29,4,z
37,94,55,x
55,25,88,y
45,73,29,x
88,21,23,z
42,2,95,z
99,71,98,z
88,21,54,y
20,1,24,z
10,73,68,x
91,12,71,x
21,20,57,z
82,36,92,y
89,29,19,y
72,13,14,x
42,41,86,z
43,55,36,x
27,10,43,z
36,18,58,y
61,69,88,z
27,11,73,x
9,51,2,y
96,79,39,y
94,50,2,z
14,79,86,x
66,5,29,y
97,79,43,z
6,71,94,z
83,28,98,z
18,35,40,y
80,42,94,z
94,93,3,x
21,22,45,x
66,31,87,z
61,72,71,y
8,23,35,y
11,43,47,z
38,51,58,z
84,82,50,y
92,67,39,x
90,10,4,x
60,14,92,y
59,43,97,z
23,80,79,z
51,46,43,y
49,78,37,x
32,99,30,z
17,49,24,x
6,19,53,y
22,86,75,y
46,35,99,x
39,54,26,y
28,93,53,x
87,55,21,z
48,62,73,x
94,24,15,y
12,98,25,x
31,24,47,x
40,27,49,x
96,19,97,z
46,22,71,z
79,94,52,y
43,73,11,z
5,32,85,x
29,43,95,z
24,15,25,z
4,47,36,y
15,35,42,y
77,80,9,y
11,62,95,x
14,4,19,x
28,45,98,x
30,95,68,y
77,22,64,y
23,78,71,z
1,43,60,x
53,99,67,y
75,48,86,y
29,94,87,y
71,77,17,z
92,48,42,x
48,99,3,y
36,2,96,z
53,8,39,y
83,74,27,y
72,6,85,y
84,56,51,y
88,26,72,z
77,67,84,y
60,19,48,x
98,11,38,y
23,90,26,x
54,72,7,z
91,3,85,x
72,11,61,y
99,13,66,x
52,88,52,y
75,21,1,y
98,99,1,z
68,38,51,x
85,66,81,z
59,85,26,x
21,28,78,z
88,71,4,y
73,83,50,z
33,40,25,z
80,79,34,x
63,61,61,y
20,17,49,y
19,19,82,x
24,93,88,y
19,3,83,y
74,53,69,x
28,2,95,z
37,59,73,z
56,79,58,x
21,51,99,z
87,64,39,z
73,64,90,y
10,55,66,z
74,38,29,y
50,44,41,x
68,31,30,y
31,4,56,x
93,97,42,x
93,44,33,y
67,63,20,x
87,64,11,z
7,20,16,z
64,5,97,y
57,86,64,z
24,6,67,y
39,55,69,z
6,33,36,y
60,19,94,x
81,84,43,y
32,91,48,x
77,11,35,y
13,37,31,z
54,40,85,x
57,41,23,y
44,37,7,x
19,45,46,z
24,5,62,z
37,69,95,z
63,92,6,x
50,91,77,x
87,35,99,z
97,64,75,z
92,46,25,y
11,67,13,y
25,57,31,x
96,67,7,y
57,75,2,x
28,59,41,z
73,90,4,z
71,73,20,z
12,41,34,z
79,52,60,y
40,94,73,x
81,76,56,y
52,47,68,x
27,54,9,z
89,42,72,y
43,98,12,y
60,78,21,y
20,39,53,z
89,25,14,y
5,37,68,z
83,14,61,y
68,38,16,y
4,70,68,y
62,44,26,x
63,36,98,y
49,69,14,x
15,3,15,x
79,89,32,y
90,33,39,z
22,14,52,z
63,5,63,z
84,12,30,x
4,28,59,x
55,13,23,z
84,45,15,y
28,31,5,x
2,60,87,y
37,7,50,x
1,19,76,z
17,55,92,x
98,37,53,y
91,96,56,y
29,12,97,y
40,11,94,x
42,7,21,y
24,44,1,x
34,76,15,x
2,98,71,x
48,52,38,x
29,83,75,x
1,15,59,z
82,8,36,z
94,79,49,x
62,80,38,x
55,14,66,y
45,2,38,x
41,51,12,y
89,43,44,x
44,82,12,x
33,80,6,z
22,84,81,x
51,96,11,y
73,85,80,y
11,33,37,y
39,40,60,z
76,12,89,y
31,70,74,z
77,20,74,z
12,42,37,y
10,48,86,y
89,71,95,y
67,74,54,y
32,63,4,x
24,87,4,y
55,38,47,z
58,36,8,z
92,78,10,z
18,7,39,z
86,97,58,y
19,12,57,y
60,33,95,z
21,98,54,z
29,46,10,x
86,44,79,y
85,85,89,x
40,21,13,z
33,64,60,z
18,51,53,y
37,81,41,z
78,57,41,x
8,97,63,y
38,18,65,z
74,59,45,z
42,94,47,z
37,5,8,x
51,97,75,z
56,29,1,x
57,72,34,x
30,72,50,x
17,82,76,x
22,2,77,y
38,38,80,y
39,81,87,y
87,69,4,x
21,47,80,z
26,43,53,z
19,51,7,z
30,26,79,y
39,27,20,z
24,63,55,y
16,6,86,y
57,55,59,z
37,66,70,z
27,99,64,x
89,42,55,z
79,13,68,z
53,6,82,z
1,82,23,z
61,47,78,z
69,96,37,y
56,57,16,x
49,26,54,z
20,16,27,z
16,74,62,z
28,97,86,z
77,38,57,z
65,7,3,z
48,13,53,y
2,20,46,x
64,10,73,z
85,40,54,y
76,39,33,z
60,94,57,x
96,18,18,y
25,1,1,x
93,94,40,z
32,71,61,y
49,77,13,y
94,73,34,y
16,85,62,y
82,21,12,y
92,82,91,y
68,10,95,z
89,9,29,y
49,39,32,x
62,91,78,z
38,48,98,z
65,57,27,y
92,18,39,x
48,78,48,x
42,20,28,y
40,17,16,x
40,5,73,z
18,72,31,x
59,88,65,z
23,4,5,y
22,3,46,x
11,28,47,y
58,30,24,z
76,81,30,y
34,80,2,y
79,81,41,z
72,8,93,y
82,59,81,x
36,6,33,y
94,85,49,x
72,92,37,z
41,41,54,y
60,12,56,x
16,14,29,x
68,11,94,x
46,15,71,x
64,63,88,x
31,64,91,z
21,20,77,y
34,33,15,x
71,30,84,z
61,54,11,z
95,28,14,x
3,82,96,z
14,66,8,y
81,95,65,x
30,62,79,x
67,19,56,x
48,84,45,y
40,35,57,y
72,12,30,y
90,82,46,y
23,38,42,y
98,82,51,z
58,11,69,y
91,12,52,x
46,47,73,z
61,49,11,y
82,92,19,y
70,97,10,z
16,22,28,y
39,9,85,y
21,68,86,x
83,44,18,y
82,31,73,x
6,53,73,x
96,29,63,y
61,44,60,x
76,35,96,z
36,16,90,z
83,20,47,z
4,31,55,z
3,21,53,y
2,97,43,y
34,73,24,x
74,73,82,y
57,19,28,y
73,12,60,x
82,69,86,z
87,73,36,y
66,97,8,z
26,39,54,x
27,62,99,x
90,33,98,x
54,51,74,x
20,11,69,z
81,57,78,y
64,88,35,z
35,1,30,z
61,78,6,z
10,56,72,x
83,87,71,y
72,81,18,z
79,79,69,x
87,97,80,x
54,72,90,z
13,95,36,z
85,44,51,y
50,64,72,x
73,40,47,x
43,81,55,z
31,69,63,y
52,47,56,x
78,43,97,z
54,35,93,z
98,72,22,x
50,56,91,x
50,64,95,z
26,90,34,y
18,13,6,y
81,48,98,x
6,30,66,x
9,82,82,x
55,8,57,x
85,59,33,z
4,83,80,x
27,38,28,z
83,97,77,y
51,7,71,y
10,81,39,x
37,17,55,y
65,97,60,x
57,17,33,z
35,93,26,x
75,87,17,x
88,71,35,y
24,34,83,x
45,84,43,x
33,68,47,z
85,89,98,y
48,10,69,z
95,65,91,z
91,64,35,y
49,43,95,y
51,41,6,y
53,53,35,x
64,65,23,x
33,81,92,y
33,34,85,y
31,98,14,z
41,4,14,z
56,77,32,x
89,63,92,z
18,69,3,x
93,79,21,z
37,7,77,z
35,63,72,y
39,92,67,x
94,2,31,z
97,53,17,y
84,66,96,z
20,67,82,x
58,88,88,y
98,4,95,y
76,56,80,y
91,80,51,z
96,55,73,z
58,58,67,x
14,33,13,y
84,82,25,z
46,26,40,y
80,20,15,x
65,6,50,y
89,58,15,y
95,96,66,z
18,61,46,y
84,64,52,x
98,68,77,x
13,21,75,y
3,4,48,z
89,8,41,x
21,72,64,x
91,67,78,y
82,84,96,y
51,45,83,y
32,15,3,x
71,81,7,y
88,84,70,y
81,59,80,z
11,41,63,x
7,23,26,y
87,92,38,x
74,54,2,z
34,40,31,y
35,24,12,z
99,83,24,x
46,40,94,x
39,5,80,z
3,38,18,y
37,57,66,z
24,11,13,y
67,53,4,z
26,94,6,z
12,39,89,y
85,97,12,z
78,67,90,x
17,23,62,y
58,21,90,y
56,74,14,x
74,98,3,z
81,76,72,y
49,25,81,z
79,90,2,z
2,9,36,z
33,74,6,z
43,59,87,y
80,88,73,z
26,70,31,y
49,29,30,y
49,3,99,z
36,58,28,z
67,30,45,z
7,25,28,x
94,9,4,y
29,33,36,z
22,37,84,y
73,84,12,y
30,86,15,z
99,10,93,x
43,62,92,x
46,92,60,x
63,11,62,x
37,55,54,z
37,22,56,x
65,4,86,y
86,82,18,z
94,81,61,z
27,41,54,x
70,78,30,z
11,13,24,y
55,91,8,x
73,40,71,x
80,47,28,y
19,67,9,z
23,38,42,x
52,16,64,z
47,94,99,z
67,31,81,y
83,26,42,z
42,30,98,x
61,66,41,y
13,26,19,z
36,31,40,x
32,80,50,y
22,40,85,z
30,25,89,z
26,61,96,z
19,47,88,z
91,14,28,x
54,90,22,z
5,82,49,x
89,47,20,z
36,9,63,z
36,88,98,z
60,54,53,x
34,69,79,z
13,56,73,y
20,83,12,x
46,14,90,y
13,8,23,z
94,10,94,x
97,71,39,z
78,11,54,y
89,43,35,y
35,60,61,z
5,94,16,z
49,67,39,y
40,94,25,z
49,84,40,x
2,56,47,y
60,90,10,z
45,96,94,y
66,85,81,y
13,37,29,y
3,33,10,x
1,38,66,z
87,81,27,y
34,62,49,y
76,5,1,y
41,9,66,z
56,84,32,z
76,45,47,x
65,81,1,x
90,70,38,z
44,12,91,y
54,45,89,z
16,5,16,x
66,53,21,y
24,43,36,z
46,1,56,z
76,99,64,x
40,84,42,y
97,61,30,z
57,22,41,y
61,36,47,z
93,80,20,x
71,44,52,y
92,33,11,y
44,7,23,y
29,62,70,y
69,39,83,x
4,11,34,z
60,76,89,z
47,27,48,z
16,21,39,z
20,72,86,z
53,44,63,y
13,72,88,z
15,3,15,z
62,98,9,y
75,48,39,y
66,20,66,x
55,55,92,x
44,26,26,y
46,72,55,z
73,59,1,y
21,72,45,x
88,34,16,x
53,86,7,y
90,34,90,z
65,28,82,x
14,72,61,x
45,85,17,y
31,95,88,x
42,44,83,y
75,65,44,z
23,9,56,x
70,1,43,z
51,30,37,y
95,99,58,y
79,44,32,y
79,65,29,z
98,12,38,z
90,17,67,y
46,34,69,z
2,55,20,x
72,27,9,x
8,40,44,x
29,88,9,x
14,36,97,y
55,93,4,y
96,9,2,x
11,32,19,y
88,32,40,x
38,36,49,y
21,86,1,x
96,3,2,x
6,57,64,y
88,86,53,x
93,31,29,y
65,90,3,x
50,86,57,x
50,13,81,y
82,75,25,y
72,15,44,y
1,42,79,y
73,37,89,z
80,16,39,y
39,84,5,z
9,87,4,x
12,5,63,z
61,9,90,x
64,53,1,x
60,96,27,z
54,50,3,y
42,17,13,z
82,69,33,z
24,63,69,y
65,10,46,z
33,10,52,y
60,60,5,y
99,2,59,z
33,89,77,y
30,21,31,z
39,58,86,y
17,68,53,x
3,68,30,z
88,64,57,z
40,68,24,x
48,73,31,z
53,73,20,z
72,34,9,z
52,75,17,y
54,36,23,y
98,42,38,x
92,94,93,x
70,1,42,y
79,40,62,y
17,77,23,y
43,53,46,y
46,40,81,y
78,80,96,y
27,28,12,z
51,86,95,x
5,18,50,y
6,79,51,x
78,62,41,z
23,9,42,z
88,41,32,y
89,80,92,z
28,23,48,y
87,78,34,y
14,41,75,z
88,83,98,z
9,95,81,x
99,32,10,x
30,10,10,z
87,7,76,z
7,97,77,x
92,71,55,x
44,44,97,x
16,58,81,y
10,32,35,z
62,64,66,x
19,60,43,y
67,85,72,x
76,30,35,x
93,54,66,x
62,96,42,x
90,33,35,z
81,84,40,z
1,70,8,z
88,58,99,x
8,80,81,z
11,92,50,y
42,19,23,y
30,35,72,y
97,26,77,z
58,58,61,y
53,79,31,x
3,94,48,z
89,6,19,x
59,62,82,z
60,72,80,z
64,12,31,y
20,32,6,y
49,78,52,z
19,53,95,x
32,18,65,y
83,9,9,y
9,90,95,z
63,6,99,z
54,64,79,z
18,62,21,z
17,94,52,x
60,70,97,y
58,97,7,z
46,66,46,x
58,14,39,z
79,32,89,z
68,81,32,x
60,50,48,y
78,49,80,z
42,44,99,y
84,3,68,z
23,16,79,x
97,13,52,y
93,97,99,y
8,13,53,z
77,34,11,x
13,19,8,y
11,27,68,x
75,63,5,x
24,8,99,z
51,89,66,y
81,5,37,x
69,75,94,x
85,3,40,z
61,73,79,y
97,37,36,z
97,49,94,z
72,23,67,z
21,28,58,z
32,38,56,z
68,98,94,y
64,35,78,z
57,15,21,y
11,36,6,x
12,90,50,y
10,14,99,x
66,49,58,z
46,11,95,z
69,32,80,z
45,78,33,y
99,43,49,x
64,22,45,y
53,34,67,x
31,45,42,y
40,56,72,x
58,27,70,z
7,60,76,z
99,25,70,y
54,70,60,z
69,75,66,y
51,69,9,x
1,91,72,y
34,38,42,y
53,58,43,z
41,95,57,x
34,7,96,y
48,72,85,x
26,18,19,z
78,4,51,x
21,12,88,x
26,62,43,z
85,65,87,y
29,31,96,y
19,94,97,z
95,68,96,x
84,35,7,x
18,91,79,y
94,34,96,x
22,4,11,x
8,27,27,y
16,59,15,y
62,40,43,z
71,74,99,x
81,16,83,x
15,7,97,z
2,97,61,z
28,40,63,x
78,53,92,z
44,12,37,y
57,27,96,z
66,96,53,z
84,45,22,z
15,4,26,y
14,15,98,y
47,24,30,z
57,28,55,z
30,13,68,y
37,48,7,y
19,87,27,z
97,21,37,x
91,97,15,x
87,42,60,x
59,31,85,z
17,15,62,x
30,25,45,x
40,22,42,z
10,4,1,x
37,33,33,z
26,47,43,y
74,89,83,x
48,20,43,x
68,17,60,z
40,17,82,y
56,52,48,z
53,60,18,z
23,64,81,x
4,70,30,y
28,32,61,x
81,1,66,y
71,62,54,z
71,92,56,z
67,24,47,x
42,63,64,z
12,65,58,x
78,8,58,y
8,9,97,x
20,54,93,x
90,34,75,y
3,63,26,y
52,33,41,z
87,36,99,x
91,79,27,x
80,44,62,z
22,17,56,z
24,49,14,y
2,25,64,y
37,71,21,x
48,99,78,x
67,55,37,x
87,74,38,x
33,30,51,y
87,53,63,y
46,81,64,y
84,56,34,z
78,86,95,y
85,1,40,z
62,82,68,y
45,25,33,y
78,28,33,y
70,84,34,z
84,60,71,z
59,80,8,x
41,33,61,z
98,29,10,z
78,20,16,x
51,82,59,x
44,24,61,x
68,7,3,x
27,57,41,x
1,20,63,x
85,90,22,y
19,47,60,x
38,14,43,x
54,36,43,x
85,8,98,x
88,65,54,z
85,95,67,x
23,76,46,y
12,15,76,z
20,66,87,y
62,53,75,x
37,22,29,y
1,97,35,z
75,74,56,z
84,76,58,x
85,58,54,y
55,7,18,y
70,84,87,y
26,54,75,x
52,60,59,y
98,3,45,y
16,18,98,y
9,32,94,z
76,24,60,z
57,38,34,z
52,66,20,z
38,93,37,y
23,80,51,x
23,2,7,z
83,56,6,x
80,72,99,x
87,62,55,z
60,57,57,x
86,88,82,z
84,71,44,x
55,80,83,y
2,31,17,z
68,52,96,x
98,72,29,x
70,95,44,y
83,71,57,z
4,40,40,y
12,78,66,x
31,98,74,y
49,99,77,z
26,19,36,z
99,50,80,x
73,12,26,x
49,98,72,y
2,44,85,x
89,4,8,z
98,89,14,y
8,48,45,y
98,14,92,x
18,30,4,z
8,67,35,y
49,89,20,z
89,23,49,z
32,75,91,x
80,75,40,y
41,87,21,y
87,65,16,z
28,73,76,z
26,32,12,x
69,1,1,y
7,11,3,z
81,97,37,y
72,31,51,x
70,70,60,x
20,50,76,z
38,28,16,x
65,12,36,z
23,97,27,x
70,98,65,z
3,90,96,z
87,66,28,x
97,20,42,x
98,75,20,x
11,79,53,z
24,87,67,y
84,32,33,x
44,1,57,x
90,15,36,y
42,36,59,y
66,78,4,x
95,11,40,x
1,91,41,x
60,51,4,y
41,46,60,z
29,6,21,y
3,85,86,z
51,42,65,z
20,80,41,x
35,23,42,z
41,60,96,x
85,87,71,x
81,38,14,y
3,40,46,z
88,30,37,x
47,93,2,y
82,62,47,x
52,75,42,y
50,70,15,y
77,66,30,y
29,19,32,x
57,44,6,z
65,57,19,x
66,80,94,x
37,83,53,x
52,64,14,x
91,43,6,y
91,85,18,y
96,78,91,z
4,2,58,y
13,39,47,y
57,61,41,y
37,28,53,z
13,78,45,y
5,24,73,y
24,77,89,y
43,19,51,z
76,90,53,x
99,57,62,x
5,3,32,z
89,19,91,y
87,71,12,x
1,14,82,z
17,74,42,x
94,4,37,x
75,71,45,z
17,75,54,y
90,7,33,x
7,10,41,x
42,10,67,y
56,17,83,y
5,68,42,x
13,96,8,z
9,95,96,x
37,60,11,z
49,40,31,y
42,82,65,x
64,6,6,x
26,78,79,x
56,65,81,z
69,15,15,x
90,4,34,x
91,39,93,y
51,72,67,y
29,15,78,y
75,64,51,z
32,66,30,z
51,24,17,y
4,2,85,z
52,24,95,z
93,75,97,x
31,61,57,x
31,22,74,z
91,38,39,y
82,97,12,y
3,96,24,y
33,52,28,y
61,96,29,y
78,44,91,y
31,84,70,x
2,83,44,y
82,40,62,y
86,28,65,z
69,77,71,x
83,20,90,z
63,42,43,y
87,3,47,z
14,96,12,y
96,6,25,x
80,35,57,y
25,91,5,y
6,27,25,z
21,57,87,z
93,16,56,x
77,75,70,y
75,22,15,y
12,46,7,x
89,63,31,z
57,68,39,x
10,19,1,x
53,70,38,y
27,94,50,z
53,25,46,z
42,13,18,x
34,86,41,y
78,27,11,x
47,88,44,y
54,45,55,x
71,55,12,x
66,43,84,x
2,18,13,x
58,87,2,x
33,43,96,y
77,3,88,y
21,73,91,x
82,75,26,x
73,62,3,y
75,83,15,z
6,39,95,y
29,78,38,y
8,62,41,x
41,48,30,z
52,51,66,y
66,21,89,x
82,76,42,z
82,57,7,x
1,94,73,x
53,25,34,z
53,60,58,y
32,77,85,y
19,29,65,z
64,97,56,y
76,97,92,x
83,57,15,x
68,65,65,x
8,64,66,x
34,92,20,y
47,92,89,x
38,32,6,x
73,51,79,x
34,6,71,x
15,55,84,z
17,7,97,z
53,84,97,y
95,54,6,z
76,41,31,z
21,21,70,y
45,19,59,x
62,40,65,y
39,9,21,x
47,24,83,z
61,23,84,z
78,34,33,x
42,68,55,y
57,51,8,y
80,13,21,z
5,89,2,x
78,75,13,z
10,64,69,x
88,39,12,x
73,78,81,x
8,28,17,y
65,37,93,x
16,34,28,x
41,16,51,y
89,21,70,x
64,65,50,z
58,21,66,z
86,87,33,y
78,13,76,x
58,91,34,x
97,20,63,z
23,69,91,y
82,98,88,x
99,78,59,z
90,36,84,y
1,34,81,y
82,50,36,y
79,75,13,z
13,9,33,z
86,19,84,x
86,35,70,z
86,31,45,x
41,13,45,z
30,53,19,x
93,89,64,y
94,18,93,y
67,16,65,x
31,18,97,x
23,40,90,y
43,27,20,z
57,47,91,x
76,11,6,x
54,63,12,x
94,17,89,x
86,84,62,y
99,22,48,z
65,73,52,z
67,50,18,z
20,4,2,z
82,97,34,z
18,42,29,x
3,82,15,z
57,80,10,x
47,80,6,x
15,29,96,y
4,45,98,y
59,16,87,x
97,84,65,y
30,26,19,x
82,69,27,x
98,28,77,x
26,60,22,x
88,90,65,x
12,60,84,z
99,28,63,y
45,58,62,x
61,32,77,y
62,60,36,y
18,19,45,x
55,10,68,y
85,30,62,y
2,68,11,y
48,96,31,y
3,2,47,y
73,58,9,y
71,5,18,z
44,85,42,x
51,6,71,x
90,45,33,x
41,58,89,z
10,91,46,z
84,75,67,z
37,55,78,z
70,8,95,y
13,63,2,y
35,96,64,x
76,84,81,x
5,31,46,x
85,96,6,x
91,32,61,y
53,40,93,z
52,57,38,x
54,49,87,x
99,85,91,x
72,23,13,y
91,11,40,z
69,71,24,y
90,97,59,z
9,59,5,x
74,35,50,y
55,6,12,x
16,54,7,z
39,60,23,x
24,49,37,z
92,90,83,x
6,10,4,z
44,29,56,y
25,90,66,y
60,62,64,y
74,48,24,z
31,94,91,z
36,87,90,y
86,29,23,z
9,8,73,y
94,10,69,y
30,48,39,y
46,12,75,y
95,37,50,x
56,8,58,x
35,43,87,x
57,10,48,x
38,70,38,z
55,87,11,z
94,92,98,x
3,85,12,x
69,25,86,y
95,96,45,y
40,30,73,z
66,83,8,z
72,97,97,y
25,3,56,x
37,28,84,x
57,17,83,y
53,68,65,x
92,42,69,z
47,9,92,x
45,27,83,y
60,4,67,z
28,31,7,z
86,61,58,y
53,15,89,z
86,25,37,z
83,5,90,y
47,85,42,y
85,25,42,y
11,45,47,x
85,45,59,x
22,46,80,x
6,86,58,x
50,31,95,x
86,22,41,x
21,39,36,x
23,45,57,z
17,29,46,z
73,24,71,z
78,50,4,x
96,40,63,z
63,93,36,y
4,66,26,z
48,52,30,y
33,46,21,z
78,21,33,z
26,23,4,z
1,24,24,x
53,28,6,x
28,86,75,x
72,57,30,y
31,15,80,y
1,16,4,y
28,88,52,y
94,60,73,y
63,46,76,y
39,20,90,y
91,54,86,z
26,19,83,z
77,57,5,z
91,76,37,y
21,29,82,x
18,52,74,z
92,76,45,x
68,61,42,x
10,33,23,z
82,89,81,z
74,7,98,z
47,88,23,x
48,42,24,x
98,43,2,y
85,49,39,z
74,87,43,x
4,83,76,y
5,79,58,z
70,91,32,y
13,10,53,z
98,14,36,x
47,47,1,z
11,66,67,x
48,21,60,y
75,70,39,y
6,36,81,y
91,82,42,y
54,15,68,x
69,13,92,x
92,36,71,y
65,73,83,x
86,16,88,z
66,89,29,z
61,98,18,z
84,61,5,y
94,58,49,x
96,53,90,z
84,85,65,y
87,14,41,x
61,95,84,x
51,15,81,y
9,46,77,z
32,99,60,y
38,34,53,x
90,22,17,y
71,19,50,y
32,63,38,z
84,33,7,z
37,25,41,z
35,4,36,x
45,53,98,z
8,44,63,x
49,49,51,y
47,73,21,z
34,87,58,y
79,86,52,y
63,21,73,y
85,46,26,x
82,74,7,y
73,50,75,y
26,92,4,y
89,44,28,y
2,19,35,x
89,40,91,x
69,63,82,x
86,23,67,y
81,78,36,x
38,88,57,z
31,22,9,z
27,67,86,y
57,77,1,x
96,54,40,y
84,92,59,y
21,77,57,x
12,30,27,y
91,68,36,x
81,30,60,x
74,5,82,x
92,15,91,z
70,59,77,x
54,16,15,y
18,43,93,x
8,66,13,y
42,53,31,z
15,31,13,x
46,16,5,y
45,14,4,y
90,86,59,x
54,39,54,x
95,20,53,x
95,93,78,y
31,96,41,x
97,34,70,x
82,69,8,x
11,48,81,x
17,11,50,y
56,26,40,x
98,19,62,x
91,97,72,x
62,76,45,y
72,12,29,y
36,51,15,x
1,39,29,z
7,49,20,x
28,59,21,y
48,29,74,y
71,76,31,y
76,6,94,y
16,65,73,x
72,63,66,y
85,17,6,z
68,78,57,z
98,33,45,y
73,85,94,y
78,82,5,z
17,10,56,y
16,25,27,z
62,68,69,y
7,4,14,x
51,68,96,z
98,41,34,x
74,93,5,x
95,78,72,y
54,40,80,y
65,24,83,y
53,9,41,x
63,23,44,y
64,53,72,y
49,57,89,y
46,35,49,x
2,22,71,x
41,66,24,y
90,24,82,x
97,5,94,z
77,61,56,x
40,45,56,x
97,27,95,x
27,81,76,x
1,43,48,y
70,22,37,z
14,57,53,x
88,13,87,y
97,66,13,x
82,96,44,z
85,21,64,x
77,75,77,y
1,51,55,y
59,37,36,x
59,40,67,y
67,67,68,y
71,72,61,z
79,29,4,y
66,66,5,y
6,65,53,y
20,94,65,x
23,55,7,y
89,23,32,x
76,36,81,z
3,38,26,z
83,98,9,z
19,95,81,y
99,43,60,y
15,84,14,z
97,66,80,y
63,44,59,z
47,83,5,z
60,63,13,y
97,29,79,z
35,34,23,x
9,2,53,x
54,46,3,y
49,36,61,y
36,72,17,y
62,94,6,z
6,4,49,z
43,9,4,x
37,56,42,y
52,61,22,x
78,28,91,y
81,33,67,y
84,47,48,z
99,6,91,z
66,60,54,z
73,61,75,z
29,31,23,y
36,53,71,y
27,1,67,z
96,1,41,x
1,76,47,y
90,70,38,z
98,14,86,z
5,42,41,y
29,69,72,z
80,56,15,y
18,7,31,x
1,30,50,z
42,85,11,y
53,57,7,y
69,11,69,y
11,46,95,y
52,86,22,x
22,10,41,x
39,19,4,y
41,13,78,x
89,27,48,x
72,26,39,z
58,99,8,x
3,18,86,x
23,36,39,y
3,20,48,y
57,86,64,z
28,26,72,y
39,1,79,y
41,70,59,y
70,36,6,y
30,45,17,y
65,14,62,x
3,47,49,y
57,41,56,y
37,10,72,z
70,29,99,y
78,98,10,x
47,46,10,x
93,64,37,x
4,48,92,z
66,88,40,y
10,18,11,z
38,36,65,y
19,89,76,x
66,14,83,z
97,6,2,x
4,4,86,z
24,37,27,x
56,25,19,z
34,36,3,x
78,3,12,x
10,44,72,y
23,51,8,y
40,66,23,x
3,69,41,x
53,11,76,y
38,79,13,z
93,1,9,z
70,30,53,y
72,65,71,x
39,32,65,x
30,80,1,z
32,28,30,z
54,94,77,x
37,60,23,y
84,71,96,y
44,53,15,z
23,45,25,z
94,65,18,z
82,41,95,x
70,42,26,y
72,15,41,x
9,35,1,z
67,89,66,x
34,23,75,z
58,37,15,x
57,4,90,x
77,89,6,z
73,2,66,y
33,36,58,z
98,5,97,x
82,94,12,x
82,20,46,z
80,42,73,z
77,49,98,x
76,77,10,y
88,24,45,z
